"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 09:34:27 GMT 2024","Thu Oct 10 09:34:28 GMT 2024","1084","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldAddLabelToIssue","Adding note to advertisement",""
"failed","Thu Oct 10 09:34:28 GMT 2024","Thu Oct 10 09:34:29 GMT 2024","1022","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
